18-Sep-2019 (20:06:24.601707)  counterInt: 368
18-Sep-2019 (20:06:25.107393)  counterInt: 369
18-Sep-2019 (20:06:25.694030)  counterInt: 370
18-Sep-2019 (20:06:26.359615)  counterInt: 371
18-Sep-2019 (20:06:27.048191)  counterInt: 372
18-Sep-2019 (20:06:27.631839)  counterInt: 373
18-Sep-2019 (20:06:28.163512)  counterInt: 374
18-Sep-2019 (20:06:28.751144)  counterInt: 375
18-Sep-2019 (20:06:29.341838)  counterInt: 376
18-Sep-2019 (20:06:29.939323)  counterInt: 377
18-Sep-2019 (20:06:30.482991)  counterInt: 378
18-Sep-2019 (20:06:31.040660)  counterInt: 379
18-Sep-2019 (20:06:31.636246)  counterInt: 380
18-Sep-2019 (20:06:32.196413)  counterInt: 381
18-Sep-2019 (20:06:32.905368)  counterInt: 382
18-Sep-2019 (20:06:33.786474)  counterInt: 383
18-Sep-2019 (20:06:34.331841)  counterInt: 384
18-Sep-2019 (20:06:34.949457)  counterInt: 385
18-Sep-2019 (20:06:35.519126)  counterInt: 386
18-Sep-2019 (20:06:36.303524)  counterInt: 387
18-Sep-2019 (20:06:36.865703)  counterInt: 388
18-Sep-2019 (20:06:37.483281)  counterInt: 389
18-Sep-2019 (20:06:38.035941)  counterInt: 390
18-Sep-2019 (20:06:38.681539)  counterInt: 391
18-Sep-2019 (20:06:39.264174)  counterInt: 392
18-Sep-2019 (20:06:39.878793)  counterInt: 393
18-Sep-2019 (20:06:40.494415)  counterInt: 394
18-Sep-2019 (20:06:41.253939)  counterInt: 395
18-Sep-2019 (20:06:41.879553)  counterInt: 396
18-Sep-2019 (20:06:42.437205)  counterInt: 397
18-Sep-2019 (20:06:43.253700)  counterInt: 398
18-Sep-2019 (20:06:44.012229)  counterInt: 399
18-Sep-2019 (20:06:44.723785)  counterInt: 400
18-Sep-2019 (20:06:45.309425)  counterInt: 401
18-Sep-2019 (20:06:45.887740)  counterInt: 402
18-Sep-2019 (20:06:46.484381)  counterInt: 403
18-Sep-2019 (20:06:47.063035)  counterInt: 404
18-Sep-2019 (20:06:47.605706)  counterInt: 405
18-Sep-2019 (20:06:48.221854)  counterInt: 406
18-Sep-2019 (20:06:48.801016)  counterInt: 407
18-Sep-2019 (20:06:49.362691)  counterInt: 408
18-Sep-2019 (20:06:50.007915)  counterInt: 409
18-Sep-2019 (20:06:50.663064)  counterInt: 410
18-Sep-2019 (20:06:51.229715)  counterInt: 411
18-Sep-2019 (20:06:51.851362)  counterInt: 412
18-Sep-2019 (20:06:52.441455)  counterInt: 413
18-Sep-2019 (20:06:52.999108)  counterInt: 414
18-Sep-2019 (20:06:53.591255)  counterInt: 415
18-Sep-2019 (20:06:54.114940)  counterInt: 416
18-Sep-2019 (20:06:54.692431)  counterInt: 417
18-Sep-2019 (20:06:55.273072)  counterInt: 418
18-Sep-2019 (20:06:55.867714)  counterInt: 419
18-Sep-2019 (20:06:56.437043)  counterInt: 420
18-Sep-2019 (20:06:57.002699)  counterInt: 421
18-Sep-2019 (20:06:57.615337)  counterInt: 422
18-Sep-2019 (20:06:58.218985)  counterInt: 423
18-Sep-2019 (20:06:58.783173)  counterInt: 424
18-Sep-2019 (20:06:59.355118)  counterInt: 425
18-Sep-2019 (20:06:59.927276)  counterInt: 426
18-Sep-2019 (20:07:00.512941)  counterInt: 427
18-Sep-2019 (20:07:01.094098)  counterInt: 428
18-Sep-2019 (20:07:01.725243)  counterInt: 429
18-Sep-2019 (20:07:02.309410)  counterInt: 430
18-Sep-2019 (20:07:02.904561)  counterInt: 431
18-Sep-2019 (20:07:03.524710)  counterInt: 432
18-Sep-2019 (20:07:04.108479)  counterInt: 433
18-Sep-2019 (20:07:04.714627)  counterInt: 434
18-Sep-2019 (20:07:05.307280)  counterInt: 435
18-Sep-2019 (20:07:05.874454)  counterInt: 436
18-Sep-2019 (20:07:06.458613)  counterInt: 437
18-Sep-2019 (20:07:07.045381)  counterInt: 438
18-Sep-2019 (20:07:07.650331)  counterInt: 439
18-Sep-2019 (20:07:08.227246)  counterInt: 440
18-Sep-2019 (20:07:08.795667)  counterInt: 441
18-Sep-2019 (20:07:09.367315)  counterInt: 442
18-Sep-2019 (20:07:09.955976)  counterInt: 443
18-Sep-2019 (20:07:10.537334)  counterInt: 444
18-Sep-2019 (20:07:11.139353)  counterInt: 445
18-Sep-2019 (20:07:11.777584)  counterInt: 446
18-Sep-2019 (20:07:12.381209)  counterInt: 447
18-Sep-2019 (20:07:12.886485)  counterInt: 448
18-Sep-2019 (20:07:13.510094)  counterInt: 449
18-Sep-2019 (20:07:14.080480)  counterInt: 450
18-Sep-2019 (20:07:14.690103)  counterInt: 451
18-Sep-2019 (20:07:15.264553)  counterInt: 452
18-Sep-2019 (20:07:15.831209)  counterInt: 453
18-Sep-2019 (20:07:16.415864)  counterInt: 454
18-Sep-2019 (20:07:16.987518)  counterInt: 455
18-Sep-2019 (20:07:17.552712)  counterInt: 456
18-Sep-2019 (20:07:18.137354)  counterInt: 457
18-Sep-2019 (20:07:18.758492)  counterInt: 458
18-Sep-2019 (20:07:19.333161)  counterInt: 459
18-Sep-2019 (20:07:19.887834)  counterInt: 460
18-Sep-2019 (20:07:20.467911)  counterInt: 461
18-Sep-2019 (20:07:21.055166)  counterInt: 462
18-Sep-2019 (20:07:21.654822)  counterInt: 463
18-Sep-2019 (20:07:22.232980)  counterInt: 464
18-Sep-2019 (20:07:22.840052)  counterInt: 465
18-Sep-2019 (20:07:23.449353)  counterInt: 466
18-Sep-2019 (20:07:24.055377)  counterInt: 467
18-Sep-2019 (20:07:24.655003)  counterInt: 468
18-Sep-2019 (20:07:25.233648)  counterInt: 469
18-Sep-2019 (20:07:25.865272)  counterInt: 470
18-Sep-2019 (20:07:26.438925)  counterInt: 471
18-Sep-2019 (20:07:27.006585)  counterInt: 472
18-Sep-2019 (20:07:27.603131)  counterInt: 473
18-Sep-2019 (20:07:28.182143)  counterInt: 474
18-Sep-2019 (20:07:28.823766)  counterInt: 475
18-Sep-2019 (20:07:29.396107)  counterInt: 476
18-Sep-2019 (20:07:29.992747)  counterInt: 477
18-Sep-2019 (20:07:30.572010)  counterInt: 478
18-Sep-2019 (20:07:31.148262)  counterInt: 479
18-Sep-2019 (20:07:31.712911)  counterInt: 480
18-Sep-2019 (20:07:32.310215)  counterInt: 481
18-Sep-2019 (20:07:32.903857)  counterInt: 482
18-Sep-2019 (20:07:33.489050)  counterInt: 483
18-Sep-2019 (20:07:34.060705)  counterInt: 484
18-Sep-2019 (20:07:34.651968)  counterInt: 485
18-Sep-2019 (20:07:35.228629)  counterInt: 486
18-Sep-2019 (20:07:35.803299)  counterInt: 487
18-Sep-2019 (20:07:36.366466)  counterInt: 488
18-Sep-2019 (20:07:36.937140)  counterInt: 489
18-Sep-2019 (20:07:37.502022)  counterInt: 490
18-Sep-2019 (20:07:38.079178)  counterInt: 491
18-Sep-2019 (20:07:38.653356)  counterInt: 492
18-Sep-2019 (20:07:39.238092)  counterInt: 493
18-Sep-2019 (20:07:39.859249)  counterInt: 494
18-Sep-2019 (20:07:40.450407)  counterInt: 495
18-Sep-2019 (20:07:41.006088)  counterInt: 496
18-Sep-2019 (20:07:41.584372)  counterInt: 497
18-Sep-2019 (20:07:42.157029)  counterInt: 498
